,rank,phenotype,cui,assoc in neigh,assoc in intom,probability,Benjamini-Hochberg,genes,Unnamed: 8
0,24,Wolff-Parkinson-White pattern,C0043202,4,33,2.9189595185385997e-10,4.9382716049382706e-05,"PRKAA1,PRKAA2,PRKAB1,PRKAG2",
1,30,Primary familial hypertrophic cardiomyopathy,C0949658,4,75,1.7643301597480846e-08,6.17283950617284e-05,"PRKAA1,PRKAA2,PRKAB1,PRKAG2",
2,31,Lipoprotein(a),C0065058,3,30,3.080285615464362e-08,6.378600823045267e-05,"SLC22A1,SLC22A2,SLC22A3",
3,32,Lipoprotein(a),C1979040,3,37,7.378235666877232e-08,6.584362139917696e-05,"SLC22A1,SLC22A2,SLC22A3",
4,33,Oculopharyngeal muscular dystrophy,C0270952,3,39,9.16970857023358e-08,6.790123456790123e-05,"PRKAA1,PRKAA2,PRKAB1",
5,35,Lipoprotein(a),C0677452,3,43,1.3715227209498693e-07,7.20164609053498e-05,"SLC22A1,SLC22A2,SLC22A3",
6,37,Fibromyalgia,C0016053,3,49,2.3435624985079784e-07,7.613168724279836e-05,"PRKAA1,PRKAA2,PRKAB1",
7,39,Mammary Ductal Carcinoma,C0021367,3,64,6.948283289842649e-07,8.024691358024691e-05,"PRKAA1,PRKAA2,PRKAB1",
8,40,Glomerular filtration rate finding,C1561549,3,64,6.948283289842649e-07,8.23045267489712e-05,"PRKAG2,SLC22A2,SLC47A1",
9,42,"Creatinine measurement, serum (procedure)",C0201976,3,68,8.879560686736454e-07,8.641975308641975e-05,"PRKAG2,SLC22A2,SLC47A1",
10,47,"Acidosis, Lactic",C0001125,4,182,1.4786450445170018e-06,9.670781893004116e-05,"PRKAA1,PRKAA2,PRKAB1,SLC47A1",
11,48,Lipoprotein(a),C0914069,2,26,2.9946332236185924e-06,9.876543209876544e-05,"SLC22A2,SLC22A3",
12,49,Lipoprotein (a) measurement,C1096202,2,27,3.3664141289024836e-06,0.00010082304526748973,"SLC22A1,SLC22A3",
13,55,Ductal Breast Carcinoma,C1527349,3,96,3.5464302798882134e-06,0.0001131687242798354,"PRKAA1,PRKAA2,PRKAB1",
14,56,Lipoprotein(a),C1507521,2,31,5.158192640464243e-06,0.00011522633744855967,"SLC22A1,SLC22A2",
15,57,Metabolic Diseases,C0025517,5,420,5.217496709786218e-06,0.00011728395061728394,"PRKAA1,PRKAA2,PRKAB1,PRKAG2,SLC22A1",
